MINISTRY,Personel_Budget
MINISTERIO DEL SALUD,2719035682
PRESIDENCIA DE LA REPÚBLICA,7732246
CONGRESO NACIONAL,71944929
PODER JUDICIAL,388185876
CONTRALORIA GENERAL DE LA RUPUBLICA,60285639
MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA,1309617239
MINISTERIO DE RELACIONES EXTERIORES,44634951
MINISTERIO DE ECONOMÍA FOMENTO Y TURISMO,130672293
MINISTERIO DE HACIENDA,346094259
MINISTERIO DE EDUCACIÓN,492312753
MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,538934346
MINISTERIO DE DEFENSA NACIONAL,1192791572
MINISTERIO DE OBRAS PÚBLICAS,207656180
MINISTERIO DE AGRICULTURA,202179049
MINISTERIO DE BIENES NACIONALES,16023720
MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,184342191
MINISTERIO DE MINERÍA,20653757
MINISTERIO DE VIVIENDA Y URBANISMO,138574971
MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES,41353751
MINISTERIO SECRETARÍA GENERAL DE GOBIERNO,12659875
MINISTERIO DE DESARROLLO SOCIAL,67859057
MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA DE LA REPÚBLICA,10004687
MINISTERIO PÚBLICO,139713753
MINISTERIO DE ENERGÍA,36396350
MINISTERIO DEL MEDIO AMBIENTE,31918027
MINISTERIO DEL DEPORTE,24311505
MINISTERIO DE LA MUJER Y LA EQUIDAD DE GÉNERO,15329151
SERVICIO ELECTORAL,10904860
TESORO PÚBLICO,000


